WKT,city,id,latitude,longitude
"POINT (-76.55903 39.41428)",Towson,KMDTOWSO34,39.41428,-76.55903
"POINT (-76.572 39.407)",Towson,KMDTOWSO36,39.407,-76.572
"POINT (-76.628 39.397)",Towson,KMDTOWSO40,39.397,-76.628
"POINT (-76.649 39.409)",Towson,KMDTOWSO41,39.409,-76.649
"POINT (-76.565 39.423)",Towson,KMDTOWSO44,39.423,-76.565
"POINT (-76.6 39.388)",Towson,KMDTOWSO45,39.388,-76.6
"POINT (-76.583 39.39)",Towson,KMDTOWSO47,39.39,-76.583
"POINT (-76.583 39.39)",Towson,KMDTOWSO52,39.39,-76.583
"POINT (-76.595 39.418)",Towson,KMDTOWSO54,39.418,-76.595
"POINT (-76.65118 39.415)",Towson,KMDTOWSO7,39.415,-76.65118
"POINT (-76.64232 39.4117)",Towson,KMDTOWSO9,39.4117,-76.64232
"POINT (-76.419 39.376)",White Marsh,KMDWHITE51,39.376,-76.419
"POINT (-76.48 39.378)",White Marsh,KMDWHITE60,39.378,-76.48
