wstype,tot,hsp,nhw,nhb,pvk,pov,npv
bsec,1598.3490165473222,1751.0209205555902,1747.2443876404554,1535.8567390057603,1611.8593845236967,1452.0074150648659,1650.7585450916583
govt,6026.971321932257,5729.032891318634,5654.794058828743,6277.319886678294,6039.158208386403,5388.506032962998,6197.491093063237
prvt,1055.3159079552038,1020.6576488879949,766.1923735862233,1204.0561170982667,1060.1188185288343,1185.8856675241639,1029.514097987958
